  0123456789ABCDEF
0 �☺☻♥♦♣♠•◘○◙♂♀♪♫☼
1 ▶◀↕‼¶§▬↨↑↓→←∟↔▲▼
2  !"#$%&'()*+,-./
3 0123456789:;<=>?
4 @ABCDEFGHIJKLMNO
5 PQRSTUVWXYZ[\]^_
6 `abcdefghijklmno
7 pqrstuvwxyz{|}~⌂
8 ÇüéâäàåçêëèïîìÄÅ
9 éæÆôöòûùÿÖÜ¢£¥₧ƒ
A áíóúñÑªº¿⌐¬½¼¡«»
B ░▒▓│┤╡╢╖╕╣║╗╝╜╛┐
C └┴┬├─┼╞╟╚╔╩╦╠═╬╧
D ╨╤╥╙╘╒╓╫╪┘┌█▄▌▐▀
E αßΓπΣσµτΦΘΩδ∞φε∩
F ≡±≥≤⌠⌡÷≈°∙·√ⁿ²■
